cupsid,valuation,shares,filedFor,cik,ticker
02581610,131691,1952142,2013-03-31,922812,AXP
02581610,1162025,17225400,2013-03-31,922812,AXP
02581610,56655,839832,2013-03-31,922812,AXP
02581610,131082,1943100,2013-03-31,922812,AXP
02581610,539318,7994634,2013-03-31,922812,AXP
02581610,8112462,120255879,2013-03-31,922812,AXP
02581610,94425,1399713,2013-03-31,922812,AXP
06405810,225076,8041300,2013-03-31,1390777,BK
06405810,50212,1793915,2013-03-31,1390777,BK
06405810,241027,8611200,2013-03-31,1390777,BK
06405810,13791,492700,2013-03-31,1390777,BK
16725010,299161,4817400,2013-03-31,1027884,
16725010,105024,1691200,2013-03-31,1027884,
19121610,32352,800000,2013-03-31,21344,KO
19121610,3246653,80283200,2013-03-31,21344,KO
19121610,73763,1824000,2013-03-31,21344,KO
19121610,582789,14411200,2013-03-31,21344,KO
19121610,739178,18278400,2013-03-31,21344,KO
19121610,11318800,279891200,2013-03-31,21344,KO
19121610,143643,3552000,2013-03-31,21344,KO
19121610,38822,960000,2013-03-31,21344,KO
20825C10,61000,1014974,2013-03-31,78214,COP
20825C10,120158,1999300,2013-03-31,78214,COP
20825C10,1268689,21109637,2013-03-31,78214,COP
22160K10,459813,4333363,2013-03-31,1393231,COST
23918K10,1064216,8973906,2013-03-31,927066,TRL
23918K10,711540,6000000,2013-03-31,927066,TRL
24419910,143268,1666300,2013-03-31,315189,DE
24419910,198826,2312467,2013-03-31,315189,DE
25490A30,807868,14275800,2013-03-31,1465112,
02581610,112209,1952142,2012-12-31,922812,AXP
02581610,990116,17225400,2012-12-31,922812,AXP
02581610,48274,839832,2012-12-31,922812,AXP
02581610,111689,1943100,2012-12-31,922812,AXP
02581610,459532,7994634,2012-12-31,922812,AXP
02581610,6912308,120255879,2012-12-31,922812,AXP
02581610,80456,1399713,2012-12-31,922812,AXP
03948310,163151,5956600,2012-12-31,315032,ADM
06405810,206661,8041300,2012-12-31,1390777,BK
06405810,46104,1793915,2012-12-31,1390777,BK
06405810,251827,9798700,2012-12-31,1390777,BK
19121610,29000,800000,2012-12-31,21344,KO
19121610,2910266,80283200,2012-12-31,21344,KO
19121610,66120,1824000,2012-12-31,21344,KO
19121610,522406,14411200,2012-12-31,21344,KO
19121610,662592,18278400,2012-12-31,21344,KO
19121610,10146056,279891200,2012-12-31,21344,KO
19121610,128760,3552000,2012-12-31,21344,KO
19121610,34800,960000,2012-12-31,21344,KO
20825C10,58858,1014974,2012-12-31,78214,COP
20825C10,115939,1999300,2012-12-31,78214,COP
20825C10,1224148,21109637,2012-12-31,78214,COP
22160K10,427833,4333363,2012-12-31,1393231,COST
23918K10,840905,7607935,2012-12-31,927066,TRL
23918K10,663180,6000000,2012-12-31,927066,TRL
24419910,144002,1666300,2012-12-31,315189,DE
24419910,199843,2312467,2012-12-31,315189,DE
25490A30,553661,11037900,2012-12-31,1465112,
25490A30,1153660,22999600,2012-12-31,1465112,
36473010,31342,1740231,2012-12-31,39899,
36955010,268568,3877122,2012-12-31,750556,GD
02581610,110999,1952142,2012-09-30,922812,AXP
02581610,979436,17225400,2012-09-30,922812,AXP
02581610,47753,839832,2012-09-30,922812,AXP
02581610,110485,1943100,2012-09-30,922812,AXP
02581610,454575,7994634,2012-09-30,922812,AXP
02581610,6837749,120255879,2012-09-30,922812,AXP
02581610,79588,1399713,2012-09-30,922812,AXP
06405810,181894,8041300,2012-09-30,1390777,BK
06405810,40578,1793915,2012-09-30,1390777,BK
06405810,221647,9798700,2012-09-30,1390777,BK
19121610,30344,800000,2012-09-30,21344,KO
19121610,3045142,80283200,2012-09-30,21344,KO
19121610,69184,1824000,2012-09-30,21344,KO
19121610,546617,14411200,2012-09-30,21344,KO
19121610,693300,18278400,2012-09-30,21344,KO
19121610,10616273,279891200,2012-09-30,21344,KO
19121610,134727,3552000,2012-09-30,21344,KO
19121610,36413,960000,2012-09-30,21344,KO
20825C10,58036,1014974,2012-09-30,78214,COP
20825C10,114320,1999300,2012-09-30,78214,COP
20825C10,1207049,21109637,2012-09-30,78214,COP
22160K10,434030,4333363,2012-09-30,1393231,COST
23918K10,434910,4197569,2012-09-30,927066,TRL
23918K10,621660,6000000,2012-09-30,927066,TRL
24419910,137420,1666300,2012-09-30,315189,DE
24419910,190709,2312467,2012-09-30,315189,DE
25490A30,343797,6556000,2012-09-30,1465112,
25490A30,1206099,22999600,2012-09-30,1465112,
36473010,30889,1740231,2012-09-30,39899,
36955010,256355,3877122,2012-09-30,750556,GD
02581610,113634,1952142,2012-06-30,922812,AXP
02581610,1002691,17225400,2012-06-30,922812,AXP
02581610,48887,839832,2012-06-30,922812,AXP
02581610,113108,1943100,2012-06-30,922812,AXP
02581610,465368,7994634,2012-06-30,922812,AXP
02581610,7000095,120255879,2012-06-30,922812,AXP
02581610,81477,1399713,2012-06-30,922812,AXP
06405810,176507,8041300,2012-06-30,1390777,BK
06405810,39376,1793915,2012-06-30,1390777,BK
06405810,195010,8884300,2012-06-30,1390777,BK
12665010,247759,5301916,2012-06-30,64803,CVS
19121610,31276,400000,2012-06-30,21344,KO
19121610,3138672,40141600,2012-06-30,21344,KO
19121610,71309,912000,2012-06-30,21344,KO
19121610,563406,7205600,2012-06-30,21344,KO
19121610,714594,9139200,2012-06-30,21344,KO
19121610,10942346,139945600,2012-06-30,21344,KO
19121610,138865,1776000,2012-06-30,21344,KO
19121610,37531,480000,2012-06-30,21344,KO
20825C10,321852,5759700,2012-06-30,78214,COP
20825C10,111721,1999300,2012-06-30,78214,COP
20825C10,1179607,21109637,2012-06-30,78214,COP
22160K10,411669,4333363,2012-06-30,1393231,COST
23918K10,324093,3300000,2012-06-30,927066,TRL
23918K10,589260,6000000,2012-06-30,927066,TRL
25490A10,264658,5421100,2012-06-30,1465112,
25490A10,1122840,22999600,2012-06-30,1465112,
25667710,180623,3320885,2012-06-30,29534,DG
36473010,25634,1740231,2012-06-30,39899,
36955010,255735,3877122,2012-06-30,750556,GD
52376810,2119,1655125,2012-03-31,58361,LEE
02581610,112951,1952142,2012-03-31,922812,AXP
02581610,996662,17225400,2012-03-31,922812,AXP
02581610,48593,839832,2012-03-31,922812,AXP
02581610,112428,1943100,2012-03-31,922812,AXP
02581610,462570,7994634,2012-03-31,922812,AXP
02581610,6958005,120255879,2012-03-31,922812,AXP
02581610,80987,1399713,2012-03-31,922812,AXP
06405810,43287,1793915,2012-03-31,1390777,BK
