cik,filedFor,ticker,no_shares,value,nameOfIssuer
1067983,2024-12-31,ALLY,12719675,458035497,ALLY FINL INC
1067983,2024-12-31,ALLY,2803875,100967539,ALLY FINL INC
1067983,2024-12-31,ALLY,4228200,152257482,ALLY FINL INC
1067983,2024-12-31,ALLY,3137000,112963370,ALLY FINL INC
1067983,2024-12-31,ALLY,4836250,174153363,ALLY FINL INC
1067983,2024-12-31,ALLY,1275000,45912750,ALLY FINL INC
1067983,2024-12-31,AMZN,7724000,1694568360,AMAZON COM INC
1067983,2024-12-31,AMZN,2276000,499331640,AMAZON COM INC
1067983,2024-12-31,AXP,1149942,341291286,AMERICAN EXPRESS CO
1067983,2024-12-31,AXP,149061045,44239827546,AMERICAN EXPRESS CO
1067983,2024-12-31,AXP,1399713,415420821,AMERICAN EXPRESS CO
1067983,2024-12-31,AAPL,692000,173290640,APPLE INC
1067983,2024-12-31,AAPL,3840000,961612800,APPLE INC
1067983,2024-12-31,AAPL,34000,8514280,APPLE INC
1067983,2024-12-31,AAPL,34724000,8695584080,APPLE INC
1067983,2024-12-31,AAPL,2724000,682144080,APPLE INC
1067983,2024-12-31,AAPL,15532000,3889523440,APPLE INC
1067983,2024-12-31,AAPL,61542988,15411595055,APPLE INC
1067983,2024-12-31,AAPL,7204000,1804025680,APPLE INC
1067983,2024-12-31,AAPL,14472000,3624078240,APPLE INC
1067983,2024-12-31,AAPL,152747012,38250906745,APPLE INC
1067983,2024-12-31,AAPL,2712000,679139040,APPLE INC
1067983,2024-12-31,AAPL,3776000,945585920,APPLE INC
1067983,2024-12-31,BATRK,108217,4140382,ATLANTA BRAVES HLDGS INC
1067983,2024-12-31,BATRK,96867,3706131,ATLANTA BRAVES HLDGS INC
1067983,2024-12-31,BATRK,14929,571184,ATLANTA BRAVES HLDGS INC
1067983,2024-12-31,BATRK,3632,138960,ATLANTA BRAVES HLDGS INC
1067983,2024-12-31,BAC,3920000,172284000,BANK AMER CORP
1067983,2024-12-31,BAC,11900000,523005000,BANK AMER CORP
1067983,2024-12-31,BAC,145500,6394725,BANK AMER CORP
1067983,2024-12-31,BAC,140000000,6153000000,BANK AMER CORP
1067983,2024-12-31,BAC,5600000,246120000,BANK AMER CORP
1067983,2024-12-31,BAC,2100000,92295000,BANK AMER CORP
1067983,2024-12-31,BAC,21000000,922950000,BANK AMER CORP
1067983,2024-12-31,BAC,310800000,13659660000,BANK AMER CORP
1067983,2024-12-31,BAC,11062607,486201578,BANK AMER CORP
1067983,2024-12-31,BAC,135905480,5973045846,BANK AMER CORP
1067983,2024-12-31,BAC,28000000,1230600000,BANK AMER CORP
1067983,2024-12-31,BAC,9800000,430710000,BANK AMER CORP
1067983,2024-12-31,COF,1939213,345800462,CAPITAL ONE FINL CORP
1067983,2024-12-31,COF,3373787,601613698,CAPITAL ONE FINL CORP
1067983,2024-12-31,COF,2137000,381069840,CAPITAL ONE FINL CORP
1067983,2024-12-31,CHTR,1991759,682715232,CHARTER COMMUNICATIONS INC N
1067983,2024-12-31,CVX,17564001,2543969905,CHEVRON CORP NEW
1067983,2024-12-31,CVX,61400,8893176,CHEVRON CORP NEW
1067983,2024-12-31,CVX,2092000,303005280,CHEVRON CORP NEW
1067983,2024-12-31,CVX,32517208,4709792407,CHEVRON CORP NEW
1067983,2024-12-31,CVX,2858400,414010656,CHEVRON CORP NEW
1067983,2024-12-31,CVX,61579525,8919178401,CHEVRON CORP NEW
1067983,2024-12-31,CVX,1938000,280699920,CHEVRON CORP NEW
1067983,2024-12-31,C,14639502,1030474546,CITIGROUP INC
1067983,2024-12-31,KO,800000,49808000,COCA COLA CO
1067983,2024-12-31,KO,371471,23127784,COCA COLA CO
1067983,2024-12-31,KO,85000,5292100,COCA COLA CO
1067983,2024-12-31,KO,80283200,4998432032,COCA COLA CO
1067983,2024-12-31,KO,1824000,113562240,COCA COLA CO
1067983,2024-12-31,KO,14411200,897241312,COCA COLA CO
1067983,2024-12-31,KO,14990400,933302304,COCA COLA CO
