cik,filedFor,ticker,no_shares,value,nameOfIssuer
1067983,2013-12-31,AXP,1952142,177118000,AMERICAN EXPRESS CO
1067983,2013-12-31,AXP,17225400,1562861000,AMERICAN EXPRESS CO
1067983,2013-12-31,AXP,839832,76198000,AMERICAN EXPRESS CO
1067983,2013-12-31,AXP,1943100,176297000,AMERICAN EXPRESS CO
1067983,2013-12-31,AXP,7994634,725353000,AMERICAN EXPRESS CO
1067983,2013-12-31,AXP,120255879,10910816000,AMERICAN EXPRESS CO
1067983,2013-12-31,AXP,1399713,126996000,AMERICAN EXPRESS CO
1067983,2013-12-31,BK,8041300,280963000,BANK OF NEW YORK MELLON CORP
1067983,2013-12-31,BK,1793915,62679000,BANK OF NEW YORK MELLON CORP
1067983,2013-12-31,BK,8611200,300875000,BANK OF NEW YORK MELLON CORP
1067983,2013-12-31,BK,550021,19218000,BANK OF NEW YORK MELLON CORP
1067983,2013-12-31,BK,5656400,197635000,BANK OF NEW YORK MELLON CORP
1067983,2013-12-31,CBI,4817400,400519000,CHICAGO BRIDGE & IRON CO N V
1067983,2013-12-31,CBI,4733355,393531000,CHICAGO BRIDGE & IRON CO N V
1067983,2013-12-31,KO,800000,33048000,COCA COLA CO
1067983,2013-12-31,KO,80283200,3316499000,COCA COLA CO
1067983,2013-12-31,KO,1824000,75349000,COCA COLA CO
1067983,2013-12-31,KO,14411200,595327000,COCA COLA CO
1067983,2013-12-31,KO,18278400,755081000,COCA COLA CO
1067983,2013-12-31,KO,279891200,11562305000,COCA COLA CO
1067983,2013-12-31,KO,3552000,146733000,COCA COLA CO
1067983,2013-12-31,KO,960000,39658000,COCA COLA CO
1067983,2013-12-31,COP,1378400,97384000,CONOCOPHILLIPS
1067983,2013-12-31,COP,9701558,685415000,CONOCOPHILLIPS
1067983,2013-12-31,COST,4333363,515757000,COSTCO WHSL CORP NEW
1067983,2013-12-31,DVA,17947812,1137353000,DAVITA HEALTHCARE PARTNERS I
1067983,2013-12-31,DVA,18513482,1173199000,DAVITA HEALTHCARE PARTNERS I
1067983,2013-12-31,DE,1666300,152183000,DEERE & CO
1067983,2013-12-31,DE,2312467,211198000,DEERE & CO
1067983,2013-12-31,DTV1,14275800,985887000,DIRECTV
1067983,2013-12-31,DTV1,22238900,1535818000,DIRECTV
1067983,2013-12-31,XOM,10607400,1073469000,EXXON MOBIL CORP
1067983,2013-12-31,XOM,2760700,279383000,EXXON MOBIL CORP
1067983,2013-12-31,XOM,27761543,2809468000,EXXON MOBIL CORP
1067983,2013-12-31,GE,588900,16507000,GENERAL ELECTRIC CO
1067983,2013-12-31,GE,535532,15011000,GENERAL ELECTRIC CO
1067983,2013-12-31,GE,4998302,140102000,GENERAL ELECTRIC CO
1067983,2013-12-31,GE,35702,1001000,GENERAL ELECTRIC CO
1067983,2013-12-31,GE,4248556,119087000,GENERAL ELECTRIC CO
1067983,2013-12-31,GE,178510,5004000,GENERAL ELECTRIC CO
1067983,2013-12-31,GM,18295000,747717000,GENERAL MTRS CO
1067983,2013-12-31,GM,21705000,887083000,GENERAL MTRS CO
1067983,2013-12-31,GS,1672012,296381000,GOLDMAN SACHS GROUP INC
1067983,2013-12-31,GS,4375968,775684000,GOLDMAN SACHS GROUP INC
1067983,2013-12-31,GS,6583551,1167000000,GOLDMAN SACHS GROUP INC
1067983,2013-12-31,GHC,148311,98378000,GRAHAM HLDGS CO
1067983,2013-12-31,GHC,648165,429941000,GRAHAM HLDGS CO
1067983,2013-12-31,GHC,894304,593210000,GRAHAM HLDGS CO
1067983,2013-12-31,GHC,36985,24533000,GRAHAM HLDGS CO
1067983,2013-12-31,IBM,84480,15846000,INTERNATIONAL BUSINESS MACHS
1067983,2013-12-31,IBM,597588,112090000,INTERNATIONAL BUSINESS MACHS
1067983,2013-12-31,IBM,474800,89058000,INTERNATIONAL BUSINESS MACHS
1067983,2013-12-31,IBM,66965116,12560647000,INTERNATIONAL BUSINESS MACHS
1067983,2013-12-31,JNJ,327100,29959000,JOHNSON & JOHNSON
1067983,2013-12-31,KRFT,192666,10387000,KRAFT FOODS GROUP INC
1067983,2013-12-31,LEE,88863,308000,LEE ENTERPRISES INC
1067983,2013-12-31,FWONA,2622340,383627000,LIBERTY MEDIA CORP DELAWARE
1067983,2013-12-31,FWONA,2677660,391720000,LIBERTY MEDIA CORP DELAWARE
1067983,2013-12-31,MTB,546000,63565000,M & T BK CORP
1067983,2013-12-31,MTB,164795,19185000,M & T BK CORP
1067983,2013-12-31,MTB,4671245,543826000,M & T BK CORP
1067983,2013-12-31,MA,405000,338361000,MASTERCARD INC
1067983,2013-12-31,MEG1,4646220,105005000,MEDIA GEN INC
1067983,2013-12-31,MDLZ,578000,20403000,MONDELEZ INTL INC
1067983,2013-12-31,MCO,11973928,939594000,MOODYS CORP
1067983,2013-12-31,MCO,12695850,996243000,MOODYS CORP
1067983,2013-12-31,NOV,4216500,335338000,NATIONAL OILWELL VARCO INC
1067983,2013-12-31,NOV,4663500,370888000,NATIONAL OILWELL VARCO INC
1067983,2013-12-31,PSX,6495800,501021000,PHILLIPS 66
