,CIK,Ticker,Name,Exchange
0,0000001750,AIR,Aar Corp,NYSE
1,0000001800,ABT,Abbott Laboratories,NYSE
2,0000001961,WDDD,Worlds Inc,OTC
3,0000002098,ACU,Acme United Corp,NYSE
4,0000002186,BKTI,Bk Technologies Corp,NYSE
5,0000002230,ADX,"Adams Diversified Equity Fund, Inc.",NYSE
6,0000002488,AMD,Advanced Micro Devices Inc,Nasdaq
7,0000002809,AEM,Agnico Eagle Mines Ltd,NYSE
8,0000002969,APD,"Air Products & Chemicals, Inc.",NYSE
9,0000003197,CECO,Ceco Environmental Corp,Nasdaq
10,0000003453,MATX,"Matson, Inc.",NYSE
11,0000003499,ALX,Alexanders Inc,NYSE
12,0000003545,ALCO,"Alico, Inc.",Nasdaq
13,0000003570,LNG,"Cheniere Energy, Inc.",NYSE
14,0000004127,SWKS,"Skyworks Solutions, Inc.",Nasdaq
15,0000004281,HWM,Howmet Aerospace Inc.,NYSE
16,0000004281,HWM-P,Howmet Aerospace Inc.,NYSE
17,0000004447,HES,Hess Corp,NYSE
18,0000004457,UHAL,U-Haul Holding Co /Nv/,NYSE
19,0000004457,UHAL-B,U-Haul Holding Co /Nv/,NYSE
20,0000004904,AEP,American Electric Power Co Inc,Nasdaq
21,0000004962,AXP,American Express Co,NYSE
22,0000004977,AFL,Aflac Inc,NYSE
23,0000005094,VBF,Invesco Bond Fund,NYSE
24,0000005272,AIG,"American International Group, Inc.",NYSE
25,0000005513,UNM,Unum Group,NYSE
26,0000005513,UNMA,Unum Group,NYSE
27,0000005981,AVD,American Vanguard Corp,NYSE
28,0000006176,AP,Ampco Pittsburgh Corp,NYSE
29,0000006176,AP-WT,Ampco Pittsburgh Corp,NYSE
30,0000006201,AAL,American Airlines Group Inc.,Nasdaq
31,0000006207,AXR,Amrep Corp.,NYSE
32,0000006281,ADI,Analog Devices Inc,Nasdaq
33,0000006845,APOG,"Apogee Enterprises, Inc.",Nasdaq
34,0000006951,AMAT,Applied Materials Inc /De,Nasdaq
35,0000006955,EPAC,Enerpac Tool Group Corp,NYSE
36,0000007084,ADM,Archer-Daniels-Midland Co,NYSE
37,0000007323,EAI,"Entergy Arkansas, Llc",NYSE
38,0000007431,AWI,Armstrong World Industries Inc,NYSE
39,0000007536,ARW,"Arrow Electronics, Inc.",NYSE
40,0000007623,ARTW,Arts Way Manufacturing Co Inc,Nasdaq
41,0000007789,ASB,Associated Banc-Corp,NYSE
42,0000007789,ASB-PE,Associated Banc-Corp,NYSE
43,0000007789,ASB-PF,Associated Banc-Corp,NYSE
44,0000007789,ASBA,Associated Banc-Corp,NYSE
45,0000008063,ATRO,Astronics Corp,Nasdaq
46,0000008063,ATROB,Astronics Corp,OTC
47,0000008146,ALOT,"Astronova, Inc.",Nasdaq
48,0000008177,AAME,Atlantic American Corp,Nasdaq
49,0000008504,UAVS,Ageagle Aerial Systems Inc.,NYSE
50,0000008670,ADP,Automatic Data Processing Inc,Nasdaq
51,0000008818,AVY,Avery Dennison Corp,NYSE
52,0000008858,AVT,Avnet Inc,Nasdaq
53,0000008947,AZZ,Azz Inc,NYSE
54,0000009092,BMI,Badger Meter Inc,NYSE
55,0000009326,BCPC,Balchem Corp,Nasdaq
56,0000009389,BALL,Ball Corp,NYSE
57,0000009521,BCV,Bancroft Fund Ltd,NYSE
58,0000009521,BCV-PA,Bancroft Fund Ltd,NYSE
59,0000009631,BNS,Bank Of Nova Scotia,NYSE
60,0000010048,BRN,Barnwell Industries Inc,NYSE
61,0000010329,BSET,Bassett Furniture Industries Inc,Nasdaq
62,0000010456,BAX,Baxter International Inc,NYSE
63,0000010795,BDX,Becton Dickinson & Co,NYSE
64,0000011544,WRB,Berkley W R Corp,NYSE
65,0000011544,WRB-PE,Berkley W R Corp,NYSE
66,0000011544,WRB-PF,Berkley W R Corp,NYSE
67,0000011544,WRB-PG,Berkley W R Corp,NYSE
68,0000011544,WRB-PH,Berkley W R Corp,NYSE
69,0000012040,BDL,Flanigans Enterprises Inc,NYSE
70,0000012208,BIO,"Bio-Rad Laboratories, Inc.",NYSE
71,0000012208,BIO-B,"Bio-Rad Laboratories, Inc.",NYSE
72,0000012239,DOMH,Dominari Holdings Inc.,Nasdaq
73,0000012659,HRB,H&R Block Inc,NYSE
74,0000012927,BA,Boeing Co,NYSE
75,0000012927,BA-PA,Boeing Co,NYSE
76,0000013156,GLXZ,"Galaxy Gaming, Inc.",OTC
77,0000013372,NSARO,Nstar Electric Co,OTC
78,0000013372,NSARP,Nstar Electric Co,OTC
79,0000014177,BRID,Bridgford Foods Corp,Nasdaq
80,0000014272,BMY,Bristol Myers Squibb Co,NYSE
81,0000014272,BMYMP,Bristol Myers Squibb Co,OTC
82,0000014272,CELG-RI,Bristol Myers Squibb Co,NYSE
83,0000014693,BF-A,Brown Forman Corp,NYSE
84,0000014693,BF-B,Brown Forman Corp,NYSE
85,0000014707,CAL,Caleres Inc,NYSE
86,0000014846,BRT,Brt Apartments Corp.,NYSE
87,0000014930,BC,Brunswick Corp,NYSE
88,0000014930,BC-PA,Brunswick Corp,NYSE
89,0000014930,BC-PC,Brunswick Corp,NYSE
90,0000015615,MTZ,Mastec Inc,NYSE
91,0000015847,BUKS,Butler National Corp,OTC
92,0000016040,CBT,Cabot Corp,NYSE
93,0000016058,CACI,Caci International Inc /De/,NYSE
94,0000016160,CALM,Cal-Maine Foods Inc,Nasdaq
95,0000016732,CPB,Campbell'S Co,Nasdaq
96,0000016859,SRL,Scully Royalty Ltd.,NYSE
97,0000016868,CNI,Canadian National Railway Co,NYSE
98,0000016875,CP,Canadian Pacific Kansas City Ltd/Cn,NYSE
99,0000016918,STZ,"Constellation Brands, Inc.",NYSE
100,0000016988,CAJFF,Canon Inc,OTC
101,0000016988,CAJPY,Canon Inc,OTC
102,0000017313,CSWC,Capital Southwest Corp,Nasdaq
103,0000017313,CSWCZ,Capital Southwest Corp,Nasdaq
104,0000017843,CRS,Carpenter Technology Corp,NYSE
105,0000018230,CAT,Caterpillar Inc,NYSE
106,0000018255,CATO,Cato Corp,NYSE
107,0000018349,SNV,Synovus Financial Corp,NYSE
108,0000018349,SNV-PD,Synovus Financial Corp,NYSE
109,0000018349,SNV-PE,Synovus Financial Corp,NYSE
110,0000018498,GCO,Genesco Inc,NYSE
111,0000018654,AILIH,Ameren Illinois Co,OTC
112,0000018654,AILIM,Ameren Illinois Co,OTC
113,0000018654,AILIN,Ameren Illinois Co,OTC
114,0000018654,AILIO,Ameren Illinois Co,OTC
115,0000018654,AILIP,Ameren Illinois Co,OTC
116,0000018654,AILLI,Ameren Illinois Co,OTC
117,0000018654,AILLM,Ameren Illinois Co,OTC
118,0000018654,AILLN,Ameren Illinois Co,OTC
119,0000018654,AILLO,Ameren Illinois Co,OTC
120,0000018654,AILLP,Ameren Illinois Co,OTC
121,0000018748,CET,Central Securities Corp,NYSE
122,0000018926,LUMN,"Lumen Technologies, Inc.",NYSE
123,0000019584,CHE,Chemed Corp,NYSE
124,0000019617,AMJB,Jpmorgan Chase & Co,NYSE
125,0000019617,JPM,Jpmorgan Chase & Co,NYSE
126,0000019617,JPM-PC,Jpmorgan Chase & Co,NYSE
127,0000019617,JPM-PD,Jpmorgan Chase & Co,NYSE
128,0000019617,JPM-PJ,Jpmorgan Chase & Co,NYSE
129,0000019617,JPM-PK,Jpmorgan Chase & Co,NYSE
130,0000019617,JPM-PL,Jpmorgan Chase & Co,NYSE
131,0000019617,JPM-PM,Jpmorgan Chase & Co,NYSE
132,0000019617,VYLD,Jpmorgan Chase & Co,NYSE
133,0000019745,CPK,Chesapeake Utilities Corp,NYSE
134,0000019871,CVR,Chicago Rivet & Machine Co,NYSE
135,0000020212,CHDN,Churchill Downs Inc,Nasdaq
136,0000020286,CINF,Cincinnati Financial Corp,Nasdaq
137,0000020520,FYBR,"Frontier Communications Parent, Inc.",Nasdaq
138,0000020639,ABCP,Ambase Corp,OTC
139,0000021076,CLX,Clorox Co /De/,NYSE
140,0000021175,CNA,Cna Financial Corp,NYSE
141,0000021344,KO,Coca Cola Co,NYSE
142,0000021535,COHU,Cohu Inc,Nasdaq
143,0000021665,CL,Colgate Palmolive Co,NYSE
144,0000022356,CBSH,Commerce Bancshares Inc /Mo/,Nasdaq
145,0000022444,CMC,Commercial Metals Co,NYSE
146,0000022701,SUNE,"Sunation Energy, Inc.",Nasdaq
147,0000023194,CRK,Comstock Resources Inc,NYSE
148,0000023197,CMTL,Comtech Telecommunications Corp /De/,Nasdaq
149,0000023217,CAG,Conagra Brands Inc.,NYSE
150,0000023426,CNLHN,Connecticut Light & Power Co,OTC
151,0000023426,CNLHO,Connecticut Light & Power Co,OTC
152,0000023426,CNLHP,Connecticut Light & Power Co,OTC
153,0000023426,CNLPL,Connecticut Light & Power Co,OTC
154,0000023426,CNLPM,Connecticut Light & Power Co,OTC
155,0000023426,CNLTL,Connecticut Light & Power Co,OTC
156,0000023426,CNLTN,Connecticut Light & Power Co,OTC
157,0000023426,CNLTP,Connecticut Light & Power Co,OTC
158,0000023426,CNPWM,Connecticut Light & Power Co,OTC
159,0000023426,CNPWP,Connecticut Light & Power Co,OTC
160,0000023426,CNTHN,Connecticut Light & Power Co,OTC
161,0000023426,CNTHO,Connecticut Light & Power Co,OTC
162,0000023426,CNTHP,Connecticut Light & Power Co,OTC
163,0000023795,CTO,"Cto Realty Growth, Inc.",NYSE
164,0000023795,CTO-PA,"Cto Realty Growth, Inc.",NYSE
165,0000024090,CIA,"Citizens, Inc.",NYSE
166,0000024545,TAP,Molson Coors Beverage Co,NYSE
167,0000024545,TAP-A,Molson Coors Beverage Co,NYSE
168,0000024741,GLW,Corning Inc /Ny,NYSE
169,0000025232,CUZ,Cousins Properties Inc,NYSE
170,0000025445,CXT,"Crane Nxt, Co.",NYSE
171,0000025475,CRD-A,Crawford & Co,NYSE
172,0000025475,CRD-B,Crawford & Co,NYSE
173,0000025743,TXMD,"Therapeuticsmd, Inc.",Nasdaq
174,0000025895,CRWS,Crown Crafts Inc,Nasdaq
175,0000026058,CTS,Cts Corp,NYSE
176,0000026172,CMI,Cummins Inc,NYSE
177,0000026324,CW,Curtiss Wright Corp,NYSE
178,0000026780,DAN,Dana Inc,NYSE
179,0000027093,USAU,U.S. Gold Corp.,Nasdaq
180,0000027367,DXR,Daxor Corp,Nasdaq
181,0000027419,TGT,Target Corp,NYSE
182,0000027904,DAL,"Delta Air Lines, Inc.",NYSE
183,0000027996,DLX,Deluxe Corp,NYSE
184,0000028412,CMA,Comerica Inc /New/,NYSE
185,0000028823,DBD,"Diebold Nixdorf, Inc",NYSE
186,0000028917,DDS,"Dillard'S, Inc.",NYSE
187,0000028917,DDT,"Dillard'S, Inc.",NYSE
188,0000029002,DIOD,Diodes Inc /Del/,Nasdaq
189,0000029332,DXYN,Dixie Group Inc,OTC
190,0000029534,DG,Dollar General Corp,NYSE
191,0000029644,DCI,Donaldson Co Inc,NYSE
192,0000029905,DOV,Dover Corp,NYSE
193,0000029989,OMC,Omnicom Group Inc.,NYSE
194,0000030305,DCO,Ducommun Inc /De/,NYSE
195,0000030554,CTA-PA,"Eidp, Inc.",NYSE
196,0000030554,CTA-PB,"Eidp, Inc.",NYSE
197,0000030625,FLS,Flowserve Corp,NYSE
198,0000030697,WEN,Wendy'S Co,Nasdaq
199,0000031107,EML,Eastern Co,Nasdaq
200,0000031235,KODK,Eastman Kodak Co,NYSE
201,0000031462,ECL,Ecolab Inc.,NYSE
202,0000031667,EDUC,Educational Development Corp,Nasdaq
203,0000031791,RVTY,"Revvity, Inc.",NYSE
204,0000032604,EMR,Emerson Electric Co,NYSE
205,0000032621,MSN,Emerson Radio Corp,NYSE
206,0000033002,EBF,"Ennis, Inc.",NYSE
207,0000033185,EFX,Equifax Inc,NYSE
208,0000033213,EQT,Eqt Corp,NYSE
209,0000033488,ESCA,Escalade Inc,Nasdaq
210,0000033533,ESP,Espey Mfg & Electronics Corp,NYSE
211,0000033934,CRF,Cornerstone Total Return Fund Inc,NYSE
212,0000033992,KINS,"Kingstone Companies, Inc.",Nasdaq
213,0000034067,BOOM,Dmc Global Inc.,Nasdaq
214,0000034088,XOM,Exxon Mobil Corp,NYSE
215,0000034285,RLBY,Reliability Inc,OTC
216,0000034563,FARM,Farmer Brothers Co,Nasdaq
217,0000034782,SRCE,1St Source Corp,Nasdaq
218,0000034903,FRT,Federal Realty Investment Trust,NYSE
219,0000034903,FRT-PC,Federal Realty Investment Trust,NYSE
220,0000034956,TENX,"Tenax Therapeutics, Inc.",Nasdaq
221,0000035527,FITB,Fifth Third Bancorp,Nasdaq
222,0000035527,FITBI,Fifth Third Bancorp,Nasdaq
223,0000035527,FITBO,Fifth Third Bancorp,Nasdaq
224,0000035527,FITBP,Fifth Third Bancorp,Nasdaq
225,0000036029,FFIN,First Financial Bankshares Inc,Nasdaq
226,0000036104,USB,Us Bancorp \De\,NYSE
227,0000036104,USB-PA,Us Bancorp \De\,NYSE
228,0000036104,USB-PH,Us Bancorp \De\,NYSE
229,0000036104,USB-PP,Us Bancorp \De\,NYSE
230,0000036104,USB-PQ,Us Bancorp \De\,NYSE
231,0000036104,USB-PR,Us Bancorp \De\,NYSE
232,0000036104,USB-PS,Us Bancorp \De\,NYSE
233,0000036146,TRMK,Trustmark Corp,Nasdaq
234,0000036270,MTB,M&T Bank Corp,NYSE
235,0000036270,MTB-PH,M&T Bank Corp,NYSE
236,0000036270,MTB-PJ,M&T Bank Corp,NYSE
237,0000036377,FHB,"First Hawaiian, Inc.",Nasdaq
238,0000036840,FREVS,First Real Estate Investment Trust Of New Jersey,OTC
239,0000036966,FHN,First Horizon Corp,NYSE
240,0000036966,FHN-PB,First Horizon Corp,NYSE
241,0000036966,FHN-PC,First Horizon Corp,NYSE
242,0000036966,FHN-PE,First Horizon Corp,NYSE
243,0000036966,FHN-PF,First Horizon Corp,NYSE
244,0000037472,FLXS,Flexsteel Industries Inc,Nasdaq
245,0000037785,FMC,Fmc Corp,NYSE
246,0000037808,FNB,Fnb Corp/Pa/,NYSE
247,0000037996,F,Ford Motor Co,NYSE
248,0000037996,F-PB,Ford Motor Co,NYSE
249,0000037996,F-PC,Ford Motor Co,NYSE
250,0000037996,F-PD,Ford Motor Co,NYSE
251,0000038264,FORD,"Forward Industries, Inc.",Nasdaq
252,0000038725,FELE,Franklin Electric Co Inc,Nasdaq
253,0000038777,BEN,Franklin Resources Inc,NYSE
254,0000039020,FEIM,Frequency Electronics Inc,Nasdaq
255,0000039092,FRD,Friedman Industries Inc,Nasdaq
256,0000039263,CFR,"Cullen/Frost Bankers, Inc.",NYSE
257,0000039263,CFR-PB,"Cullen/Frost Bankers, Inc.",NYSE
258,0000039311,IBCP,Independent Bank Corp /Mi/,Nasdaq
259,0000039368,FUL,Fuller H B Co,NYSE
260,0000039899,TGNA,Tegna Inc,NYSE
261,0000039911,GAP,Gap Inc,NYSE
262,0000040211,GATX,Gatx Corp,NYSE
263,0000040417,GAM,General American Investors Co Inc,NYSE
264,0000040417,GAM-PB,General American Investors Co Inc,NYSE
265,0000040533,GD,General Dynamics Corp,NYSE
266,0000040545,GE,General Electric Co,NYSE
267,0000040570,JOB,Gee Group Inc.,NYSE
268,0000040704,GIS,General Mills Inc,NYSE
269,0000040729,ALLY,Ally Financial Inc.,NYSE
270,0000040987,GPC,Genuine Parts Co,NYSE
271,0000041091,GPJA,Georgia Power Co,NYSE
272,0000041719,MAGN,Magnera Corp,NYSE
273,0000042582,GT,Goodyear Tire & Rubber Co /Oh/,Nasdaq
274,0000042682,GRC,Gorman Rupp Co,NYSE
275,0000042888,GGG,Graco Inc,NYSE
276,0000043196,GTN,"Gray Media, Inc",NYSE
277,0000043196,GTN-A,"Gray Media, Inc",NYSE
278,0000043920,GEF,"Greif, Inc",NYSE
279,0000043920,GEF-B,"Greif, Inc",NYSE
280,0000045012,HAL,Halliburton Co,NYSE
281,0000045876,NVRI,Enviri Corp,NYSE
282,0000045919,HHS,Harte Hanks Inc,Nasdaq
283,0000046080,HAS,"Hasbro, Inc.",Nasdaq
284,0000046129,ALNT,Allient Inc,Nasdaq
285,0000046195,BOH,Bank Of Hawaii Corp,NYSE
286,0000046195,BOH-PA,Bank Of Hawaii Corp,NYSE
