filedFor,nameOfIssuer,ticker,no_shares,value
2013-06-30,AMERICAN EXPRESS CO,AXP,151610700,11334417000
2013-06-30,BANK OF NEW YORK MELLON CORP,BK,24644029,691264000
2013-06-30,CHICAGO BRIDGE & IRON CO N V,CBI,9550755,569798000
2013-06-30,COCA COLA CO,KO,400000000,16044001000
2013-06-30,CONOCOPHILLIPS,COP,24123911,1459497000
2013-06-30,COSTCO WHSL CORP NEW,COST,4333363,479140000
2013-06-30,DAVITA HEALTHCARE PARTNERS I,DVA,14973906,1808848000
2013-06-30,DEERE & CO,DE,3978767,323275000
2013-06-30,DIRECTV,DTV1,37275400,2297655000
2013-06-30,DISH NETWORK CORP,DISH,547312,23272000
2013-06-30,EXXON MOBIL CORP,XOM,31244110,2822906
2013-06-30,GENERAL ELECTRIC CO,GE,588900,13657000
2013-06-30,GENERAL MTRS CO,GM,40000000,1332400000
2013-06-30,INTERNATIONAL BUSINESS MACHS,IBM,68121984,13018792000
2013-06-30,JOHNSON & JOHNSON,JNJ,327100,28085000
2013-06-30,KRAFT FOODS GROUP INC,KRFT,192666,10764000
2013-06-30,LEE ENTERPRISES INC,LEE,88863,181000
2013-06-30,LIBERTY MEDIA CORP DELAWARE,FWONA,5622340,712688000
2013-06-30,M & T BK CORP,MTB,5382040,601444000
2013-06-30,MASTERCARD INC,MA,405000,232673000
2013-06-30,MEDIA GEN INC,MEG1,4646220,51248000
2013-06-30,MONDELEZ INTL INC,MDLZ,578000,16490000
2013-06-30,MOODYS CORP,MCO,24922178,1518508000
2013-06-30,NATIONAL OILWELL VARCO INC,NOV,8880000,611832000
2013-06-30,PHILLIPS 66,PSX,27163918,1600226000
2013-06-30,PRECISION CASTPARTS CORP,PCP,1977336,446898000
2013-06-30,PROCTER & GAMBLE CO,PG,52793078,4064539000
2013-06-30,STARZ,STRZA,5622340,124254000
2013-06-30,TORCHMARK CORP,GL,4235818,275921000
2013-06-30,U S G CORP,USG,17072192,393514000
2013-06-30,UNITED PARCEL SERVICE INC,UPS,59400,5137000
2013-06-30,US BANCORP DEL,USB,78277301,2829725000
2013-06-30,VERISIGN INC,VRSN,10897420,486679000
2013-06-30,VERISK ANALYTICS INC,VRSK,1563434,93337000
2013-06-30,VIACOM INC NEW,VIAB,7607200,517518000
2013-06-30,VISA INC,V,1555459,284260000
2013-06-30,WABCO HLDGS INC,WBC,4076325,304461000
2013-06-30,WAL MART STORES INC,WMT,49247235,3668426000
2013-06-30,WASHINGTON POST CO,GHC,1727765,835840000
2013-06-30,WELLS FARGO & CO NEW,WFC,463131623,19113442000
2013-09-30,AMERICAN EXPRESS CO,AXP,151610700,11449640000
2013-09-30,BANK OF NEW YORK MELLON CORP,BK,24652836,744269000
2013-09-30,CHICAGO BRIDGE & IRON CO N V,CBI,9550755,647254000
2013-09-30,COCA COLA CO,KO,400000000,15152001000
2013-09-30,CONOCOPHILLIPS,COP,13529270,940419000
2013-09-30,COSTCO WHSL CORP NEW,COST,4333363,499073000
2013-09-30,DAVITA HEALTHCARE PARTNERS I,DVA,31446830,1789325000
2013-09-30,DEERE & CO,DE,3978767,323832000
2013-09-30,DIRECTV,DTV1,36514700,2182848000
2013-09-30,DISH NETWORK CORP,DISH,547312,24635000
2013-09-30,EXXON MOBIL CORP,XOM,40089371,3449290000
2013-09-30,GENERAL ELECTRIC CO,GE,588900,14069000
2013-09-30,GENERAL MTRS CO,GM,40000000,1438800000
2013-09-30,INTERNATIONAL BUSINESS MACHS,IBM,68121984,12614828000
2013-09-30,JOHNSON & JOHNSON,JNJ,327100,28356000
2013-09-30,KRAFT FOODS GROUP INC,KRFT,192666,10111000
2013-09-30,LEE ENTERPRISES INC,LEE,88863,235000
2013-09-30,LIBERTY MEDIA CORP DELAWARE,FWONA,5622340,827327000
2013-09-30,M & T BK CORP,MTB,5382040,602358000
2013-09-30,MASTERCARD INC,MA,405000,272476000
2013-09-30,MEDIA GEN INC,MEG1,4646220,66255000
2013-09-30,MONDELEZ INTL INC,MDLZ,578000,18161000
2013-09-30,MOODYS CORP,MCO,24922178,1752777000
2013-09-30,NATIONAL OILWELL VARCO INC,NOV,8880000,693617000
2013-09-30,PHILLIPS 66,PSX,27163918,1570618000
2013-09-30,PRECISION CASTPARTS CORP,PCP,1977336,449330000
2013-09-30,PROCTER & GAMBLE CO,PG,52793078,3990629000
2013-09-30,STARZ,STRZA,5622340,158156000
2013-09-30,TORCHMARK CORP,GL,4235818,306461000
2013-09-30,U S G CORP,USG,17072192,487923000
2013-09-30,UNITED PARCEL SERVICE INC,UPS,59400,5427000
2013-09-30,US BANCORP DEL,USB,79117501,2894119000
2013-09-30,VERISIGN INC,VRSN,10961520,557832000
2013-09-30,VERISK ANALYTICS INC,VRSK,1563434,101561000
2013-09-30,VIACOM INC NEW,VIAB,7607200,635809000
2013-09-30,VISA INC,V,1555459,297248000
2013-09-30,WABCO HLDGS INC,WBC,4076325,343471000
2013-09-30,WAL MART STORES INC,WMT,49247235,3642325000
2013-09-30,WASHINGTON POST CO,GHC,1727765,1056270000
2013-09-30,WELLS FARGO & CO NEW,WFC,463131623,19136598000
2013-12-31,AMERICAN EXPRESS CO,AXP,151610700,13755639000
2013-12-31,BANK OF NEW YORK MELLON CORP,BK,24652836,861370000
2013-12-31,CHICAGO BRIDGE & IRON CO N V,CBI,9550755,794050000
2013-12-31,COCA COLA CO,KO,400000000,16524000000
2013-12-31,CONOCOPHILLIPS,COP,11079958,782799000
2013-12-31,COSTCO WHSL CORP NEW,COST,4333363,515757000
2013-12-31,DAVITA HEALTHCARE PARTNERS I,DVA,36461294,2310552000
2013-12-31,DEERE & CO,DE,3978767,363381000
2013-12-31,DIRECTV,DTV1,36514700,2521705000
2013-12-31,EXXON MOBIL CORP,XOM,41129643,4162320000
2013-12-31,GENERAL ELECTRIC CO,GE,10585502,296712000
2013-12-31,GENERAL MTRS CO,GM,40000000,1634800000
2013-12-31,GOLDMAN SACHS GROUP INC,GS,12631531,2239065000
2013-12-31,GRAHAM HLDGS CO,GHC,1727765,1146062000
2013-12-31,INTERNATIONAL BUSINESS MACHS,IBM,68121984,12777641000
2013-12-31,JOHNSON & JOHNSON,JNJ,327100,29959000
2013-12-31,KRAFT FOODS GROUP INC,KRFT,192666,10387000
2013-12-31,LEE ENTERPRISES INC,LEE,88863,308000
2013-12-31,LIBERTY GLOBAL PLC,LBTYA,2948285,262397000
2013-12-31,LIBERTY MEDIA CORP DELAWARE,FWONA,5300000,775347000
2013-12-31,M & T BK CORP,MTB,5382040,626576000
2013-12-31,MASTERCARD INC,MA,405000,338361000
2013-12-31,MEDIA GEN INC,MEG1,4646220,105005000
2013-12-31,MONDELEZ INTL INC,MDLZ,578000,20403000
2013-12-31,MOODYS CORP,MCO,24669778,1935837000
2013-12-31,NATIONAL OILWELL VARCO INC,NOV,8880000,706226000
2013-12-31,PHILLIPS 66,PSX,27163918,2095153000
2013-12-31,PRECISION CASTPARTS CORP,PCP,1977336,532496000
2013-12-31,PROCTER & GAMBLE CO,PG,52793078,4297885000
2013-12-31,STARZ,STRZA,4541881,132804000
2013-12-31,TORCHMARK CORP,GL,4235818,331029000
2013-12-31,U S G CORP,USG,34890174,990184000
2013-12-31,UNITED PARCEL SERVICE INC,UPS,59400,6242000
2013-12-31,US BANCORP DEL,USB,79320901,3204565000
2013-12-31,VERISIGN INC,VRSN,10961520,655280000
2013-12-31,VERISK ANALYTICS INC,VRSK,1563434,102749000
2013-12-31,VIACOM INC NEW,VIAB,7607200,664412000
2013-12-31,VISA INC,V,1555459,346370000
2013-12-31,WABCO HLDGS INC,WBC,4076325,380770000
2013-12-31,WAL MART STORES INC,WMT,49483733,3893875000
2013-12-31,WELLS FARGO & CO NEW,WFC,463458123,21040998000
2014-03-31,AMERICAN EXPRESS CO,AXP,151610700,13649511000
2014-03-31,BANK OF NEW YORK MELLON CORP,BK,24652836,869997000
2014-03-31,CHICAGO BRIDGE & IRON CO N V,CBI,9550755,832348000
2014-03-31,COCA COLA CO,KO,400000000,15464001000
2014-03-31,CONOCOPHILLIPS,COP,11079958,779475000
2014-03-31,COSTCO WHSL CORP NEW,COST,4333363,483950000
2014-03-31,DAVITA HEALTHCARE PARTNERS I,DVA,37621152,2590216000
2014-03-31,DEERE & CO,DE,3978767,361272000
2014-03-31,DIRECTV,DTV1,34514700,2637614000
2014-03-31,EXXON MOBIL CORP,XOM,41129643,4017544000
2014-03-31,GENERAL ELECTRIC CO,GE,10585502,274059000
2014-03-31,GENERAL MTRS CO,GM,30000000,1032600000
2014-03-31,GOLDMAN SACHS GROUP INC,GS,12631531,2069676000
2014-03-31,GRAHAM HLDGS CO,GHC,1727765,1215915000
2014-03-31,INTERNATIONAL BUSINESS MACHS,IBM,68355084,13157670000
2014-03-31,JOHNSON & JOHNSON,JNJ,327100,32131000
2014-03-31,KRAFT FOODS GROUP INC,KRFT,192666,10809000
2014-03-31,LEE ENTERPRISES INC,LEE,88863,397000
2014-03-31,LIBERTY GLOBAL PLC,LBTYA,7346968,305634000
2014-03-31,LIBERTY GLOBAL PLC,LBTYK,7346968,299095000
2014-03-31,LIBERTY MEDIA CORP DELAWARE,FWONA,5300000,692869000
2014-03-31,M & T BK CORP,MTB,5382040,652842000
2014-03-31,MASTERCARD INC,MA,4050000,302535000
2014-03-31,MEDIA GEN INC,MEG1,4646220,85351000
2014-03-31,MONDELEZ INTL INC,MDLZ,578000,19970000
2014-03-31,MOODYS CORP,MCO,24669778,1956807000
2014-03-31,NATIONAL OILWELL VARCO INC,NOV,8880000,691486000
2014-03-31,PHILLIPS 66,PSX,9741303,750664000
2014-03-31,PRECISION CASTPARTS CORP,PCP,1977336,499792000
2014-03-31,PROCTER & GAMBLE CO,PG,52793078,4255122000
2014-03-31,STARZ,STRZA,1919541,61963000
2014-03-31,TORCHMARK CORP,GL,4235818,333359000
2014-03-31,U S G CORP,USG,34890174,1141607000
2014-03-31,UNITED PARCEL SERVICE INC,UPS,59400,5784000
2014-03-31,US BANCORP DEL,USB,80026697,3429944000
2014-03-31,VERISIGN INC,VRSN,11685654,629974000
2014-03-31,VERISK ANALYTICS INC,VRSK,1563434,93744000
2014-03-31,VERIZON COMMUNICATIONS INC,VZ,11022743,524352000
2014-03-31,VIACOM INC NEW,VIAB,7607200,646535000
2014-03-31,VISA INC,V,1555459,335761000
2014-03-31,WABCO HLDGS INC,WBC,4076325,430297000
2014-03-31,WAL MART STORES INC,WMT,58052412,4436946000
2014-03-31,WELLS FARGO & CO NEW,WFC,463458123,23052408000
2014-06-30,AMERICAN EXPRESS CO,AXP,151610700,14383308000
2014-06-30,BANK OF NEW YORK MELLON CORP,BK,24652836,923989000
2014-06-30,CHARTER COMMUNICATIONS INC D,CHTR,2309013,365701000
2014-06-30,CHICAGO BRIDGE & IRON CO N V,CBI,10701110,729816000
2014-06-30,COCA COLA CO,KO,400000000,16944000000
2014-06-30,CONOCOPHILLIPS,COP,1355228,116184000
2014-06-30,COSTCO WHSL CORP NEW,COST,4333363,499030000
2014-06-30,DAVITA HEALTHCARE PARTNERS I,DVA,37621152,2720762000
2014-06-30,DEERE & CO,DE,3978767,360277000
2014-06-30,DIRECTV,DTV1,23467995,1995014000
2014-06-30,EXXON MOBIL CORP,XOM,41129643,4140932000
2014-06-30,GENERAL ELECTRIC CO,GE,10585502,278186000
2014-06-30,GENERAL MTRS CO,GM,32960056,1196451000
2014-06-30,GOLDMAN SACHS GROUP INC,GS,12631531,2115024000
2014-06-30,GRAHAM HLDGS CO,GHC,107575,77251000
