filedFor,industry,total_value,portfolio_value,sector_percentage,sector_price_index,year_quarter
2013-06-30,Basic Materials,393514000,88226928906,0.44602481904279284,243.4499969482422,2013Q2
2013-06-30,Communication Services,3726816000,88226928906,4.224125271288404,157.7100067138672,2013Q2
2013-06-30,Consumer Cyclical,1332400000,88226928906,1.510196508618797,450.2300109863281,2013Q2
2013-06-30,Consumer Defensive,25119200000,88226928906,28.471125892597776,412.7900085449219,2013Q2
2013-06-30,Energy,3674377906,88226928906,4.1646897965980525,581.760009765625,2013Q2
2013-06-30,Financial Services,36881654000,88226928906,41.80317104689769,263.3299865722656,2013Q2
2013-06-30,Healthcare,1836933000,88226928906,2.082054790728499,553.5999755859375,2013Q2
2013-06-30,Industrials,1756563000,88226928906,1.9909601544348239,373.239990234375,2013Q2
2013-06-30,Technology,13505471000,88226928906,15.307651719793164,493.739990234375,2013Q2
2013-09-30,Basic Materials,487923000,91175733000,0.5351456839946656,265.010009765625,2013Q3
2013-09-30,Communication Services,3895265000,91175733000,4.272260690243093,149.3000030517578,2013Q3
2013-09-30,Consumer Cyclical,1438800000,91175733000,1.578051475604808,480.29998779296875,2013Q3
2013-09-30,Consumer Defensive,24368570000,91175733000,26.727034922768322,410.239990234375,2013Q3
2013-09-30,Energy,6653944000,91175733000,7.297933102440755,604.8599853515625,2013Q3
2013-09-30,Financial Services,37455946000,91175733000,41.081047300162645,268.3699951171875,2013Q3
2013-09-30,Healthcare,1817681000,91175733000,1.993601740498209,586.02001953125,2013Q3
2013-09-30,Industrials,1884944000,91175733000,2.0673746598779745,400.70001220703125,2013Q3
2013-09-30,Technology,13172660000,91175733000,14.447550424409531,519.260009765625,2013Q3
2013-12-31,Basic Materials,990184000,104171471000,0.9505327999064159,291.6400146484375,2013Q4
2013-12-31,Communication Services,4461978000,104171471000,4.283301327289504,155.52000427246094,2013Q4
2013-12-31,Consumer Cyclical,1634800000,104171471000,1.5693356197302812,530.0999755859375,2013Q4
2013-12-31,Consumer Defensive,26408369000,104171471000,25.350865017544006,442.6199951171875,2013Q4
2013-12-31,Energy,7746498000,104171471000,7.436295106171631,651.6699829101562,2013Q4
2013-12-31,Financial Services,44679810000,104171471000,42.890639415085154,294.7099914550781,2013Q4
2013-12-31,Healthcare,2340511000,104171471000,2.2467869345917175,642.2999877929688,2013Q4
2013-12-31,Industrials,2476400000,104171471000,2.3772343581478275,452.4599914550781,2013Q4
2013-12-31,Technology,13432921000,104171471000,12.895009421533462,585.47998046875,2013Q4
2014-03-31,Basic Materials,1141607000,105114026000,1.0860653363234323,298.3500061035156,2014Q1
2014-03-31,Communication Services,5253810000,105114026000,4.998200715858795,154.38999938964844,2014Q1
2014-03-31,Consumer Cyclical,1032600000,105114026000,0.9823617639761986,513.3599853515625,2014Q1
2014-03-31,Consumer Defensive,25886713000,105114026000,24.62726810597094,441.9200134277344,2014Q1
2014-03-31,Energy,6239169000,105114026000,5.935619857239604,652.9000244140625,2014Q1
2014-03-31,Financial Services,46652840000,105114026000,44.383077858705555,301.05999755859375,2014Q1
2014-03-31,Healthcare,2622347000,105114026000,2.494764114543572,677.010009765625,2014Q1
2014-03-31,Industrials,2497296000,105114026000,2.3757971176938844,450.69000244140625,2014Q1
2014-03-31,Technology,13787644000,105114026000,13.11684512968802,596.3599853515625,2014Q1
