filedFor,cik,ticker,no_shares,value
2002-03-31,0000004962,AXP,4812100,419855000
2002-03-31,0000012659,HRB,15999200,711164000
2002-03-31,0000021344,KO,200000000,10452001000
2002-03-31,0000029905,DOV,2165100,88769000
2002-03-31,0000036270,MTB-PJ,6708760,539183000
2002-03-31,0000039899,TGNA,3636800,276760000
2002-03-31,0000039911,GAP,15000000,225600000
2002-03-31,0000040211,GATX,7340700,233434000
2002-03-31,0000089439,MLI,3046900,106611000
2002-03-31,0000104889,GHC,1727765,1048805000
2002-03-31,0000320187,NKE,4930700,296416000
2002-03-31,0000320335,GL-PD,2073462,83541000
2002-03-31,0000929008,WCC,5703087,1782785000
2002-03-31,0001012100,SEE,2787900,131254000
2002-03-31,0001059556,MCO,25820400,1059235000
2002-06-30,0000004962,AXP,7924200,294780000
2002-06-30,0000012659,HRB,15999200,738363000
2002-06-30,0000021344,KO,200000000,11200001000
2002-06-30,0000029905,DOV,2165100,75778000
2002-06-30,0000036270,MTB-PJ,6708760,575343000
2002-06-30,0000039899,TGNA,3636800,276033000
2002-06-30,0000039911,GAP,20000000,284000000
2002-06-30,0000040211,GATX,7340700,220955000
2002-06-30,0000089439,MLI,2480900,78769000
2002-06-30,0000104889,GHC,1727765,941632000
2002-06-30,0000320187,NKE,4405700,236366000
2002-06-30,0000320335,GL-PD,2073462,79207000
2002-06-30,0000929008,WCC,5703087,1720051000
2002-06-30,0001059556,MCO,25723500,1250961000
2002-09-30,0000004962,AXP,7924200,221481000
2002-09-30,0000008670,ADP,394600,13720000
2002-09-30,0000012659,HRB,15999200,672126000
2002-09-30,0000021344,KO,200000000,9592000000
2002-09-30,0000029905,DOV,2479200,62922000
2002-09-30,0000029989,OMC,500000,27840000
2002-09-30,0000036270,MTB-PJ,6708760,528717000
2002-09-30,0000039899,TGNA,3636800,262504000
2002-09-30,0000039911,GAP,20000000,217000000
2002-09-30,0000040211,GATX,7340700,145346000
2002-09-30,0000089439,MLI,2480900,64255000
2002-09-30,0000104889,GHC,1727765,1121319000
2002-09-30,0000320187,NKE,6000000,259080000
2002-09-30,0000320335,GL-PD,2073462,71037000
2002-09-30,0000929008,WCC,5703087,1753699000
2002-09-30,0001059556,MCO,25289100,1207327000
2002-09-30,0001108329,PTCCY,95900,1927000
2002-12-31,0000004962,AXP,11234500,397814000
2002-12-31,0000012659,HRB,15999200,643168000
2002-12-31,0000021344,KO,200000000,8768001000
2002-12-31,0000029905,DOV,4000000,116640000
2002-12-31,0000036270,MTB-PJ,6708760,532341000
2002-12-31,0000039899,TGNA,3636800,261122000
2002-12-31,0000039911,GAP,20000000,310400000
2002-12-31,0000040211,GATX,7340700,167515000
2002-12-31,0000089439,MLI,2480900,67605000
2002-12-31,0000104889,GHC,1727765,1275091000
2002-12-31,0000320187,NKE,6000000,266820000
2002-12-31,0000320335,GL-PD,1938179,70802000
2002-12-31,0000713676,PNC,715000,29959000
2002-12-31,0000764478,BBY,542800,13109000
2002-12-31,0000929008,WCC,5703087,1767672000
2002-12-31,0001059556,MCO,25067900,1027792000
2002-12-31,0001108329,PTCCY,217000,4356000
2003-03-31,0000004962,AXP,8539400,316043000
2003-03-31,0000008670,ADP,5735000,176581000
2003-03-31,0000012659,HRB,15999200,683006000
2003-03-31,0000021344,KO,200000000,8096000000
2003-03-31,0000029905,DOV,4500000,108990000
2003-03-31,0000036270,MTB-PJ,6708760,527175000
2003-03-31,0000039899,TGNA,3636800,256140000
2003-03-31,0000039911,GAP,20000000,289800000
2003-03-31,0000040211,GATX,7340700,106293000
2003-03-31,0000089439,MLI,2480900,61948000
2003-03-31,0000104889,GHC,1727765,1177230000
2003-03-31,0000320187,NKE,6000000,308520000
2003-03-31,0000320335,GL-PD,1938179,69386000
2003-03-31,0000929008,WCC,5703087,1699520000
2003-03-31,0001059556,MCO,24680000,1135530000
2003-03-31,0001108329,PTCCY,718800,14994000
2003-06-30,0000004962,AXP,8000000,331520000
2003-06-30,0000008670,ADP,5735000,194187000
2003-06-30,0000012659,HRB,15999200,691965000
2003-06-30,0000021344,KO,200000000,9282000000
2003-06-30,0000029905,DOV,4500000,134820000
2003-06-30,0000036270,MTB-PJ,6708760,565011000
2003-06-30,0000039899,TGNA,3636800,279343000
2003-06-30,0000039911,GAP,20000000,375200000
2003-06-30,0000040211,GATX,2228900,36443000
2003-06-30,0000089439,MLI,2480900,67257000
2003-06-30,0000104889,GHC,1727765,1246278000
2003-06-30,0000320187,NKE,6000000,320940000
2003-06-30,0000320335,GL-PD,1938179,72197000
2003-06-30,0000929008,WCC,5703087,1779363000
2003-06-30,0001059556,MCO,24389700,1281057000
2003-06-30,0001108329,PTCCY,659000,19902000
2003-09-30,0000004962,AXP,8000000,319680000
2003-09-30,0000008670,ADP,1649000,59117000
2003-09-30,0000012659,HRB,15999200,690365000
2003-09-30,0000021344,KO,200000000,8592000000
2003-09-30,0000029905,DOV,3129300,110683000
2003-09-30,0000036270,MTB-PJ,6708760,585675000
2003-09-30,0000039899,TGNA,3636800,282070000
2003-09-30,0000039911,GAP,20000000,342400000
2003-09-30,0000089439,MLI,2480900,63139000
2003-09-30,0000104889,GHC,1727765,1148964000
2003-09-30,0000320187,NKE,6000000,364920000
2003-09-30,0000320335,GL-PD,1938179,78768000
2003-09-30,0000929008,WCC,5703087,1938878000
2003-09-30,0001059556,MCO,24136000,1324929000
2003-09-30,0001108329,PTCCY,659000,22110000
2003-12-31,0000004962,AXP,24000000,986160000
2003-12-31,0000008670,ADP,4247100,168228000
2003-12-31,0000012659,HRB,43832700,2427018000
2003-12-31,0000021344,KO,600000000,30449997000
2003-12-31,0000029905,DOV,6000000,238500000
2003-12-31,0000036270,MTB-PJ,20126280,1978413000
2003-12-31,0000039899,TGNA,10369800,924570000
2003-12-31,0000039911,GAP,45000000,1044450000
2003-12-31,0000089439,MLI,7340700,252225000
2003-12-31,0000104889,GHC,5183295,4102059000
2003-12-31,0000320187,NKE,18000000,1232280000
2003-12-31,0000320335,GL-PD,5814537,264792000
2003-12-31,0000929008,WCC,17109261,5988240000
2003-12-31,0001059556,MCO,72000000,4359600000
2003-12-31,0001108329,PTCCY,1977000,112788000
2004-03-31,0000004962,AXP,16000000,674560000
2004-03-31,0000012659,HRB,28701200,1464622000
2004-03-31,0000021344,KO,400000000,20120002000
2004-03-31,0000036270,MTB-PJ,13417520,1205564000
2004-03-31,0000039899,TGNA,6913200,609328000
2004-03-31,0000039911,GAP,30000000,657600000
2004-03-31,0000089439,MLI,4893800,166340000
2004-03-31,0000104889,GHC,3455530,3056106000
2004-03-31,0000320187,NKE,12000000,934440000
2004-03-31,0000320335,GL-PD,3876358,208506000
2004-03-31,0000929008,WCC,11406174,4414190000
2004-03-31,0001059556,MCO,48000000,3398400000
2004-03-31,0001108329,PTCCY,1318000,67350000
2004-06-30,0000004962,AXP,8000000,356160000
2004-06-30,0000012659,HRB,14350600,684237000
2004-06-30,0000021344,KO,200000000,10096000000
2004-06-30,0000036270,MTB-PJ,6708760,585675000
2004-06-30,0000039899,TGNA,3447600,292529000
2004-06-30,0000039911,GAP,15000000,363750000
2004-06-30,0000089439,MLI,1929800,69087000
2004-06-30,0000104889,GHC,1727765,1606839000
2004-06-30,0000320187,NKE,6000000,454500000
2004-06-30,0000320335,GL-PD,1938179,104274000
2004-06-30,0000929008,WCC,5703087,2064517000
