filedFor,cik,ticker,no_shares,value,industry
2002-03-31,1012100,SEE 2 04/01/18 A,679500,31155000,Unknown
2002-03-31,1020882,IRM,1030800,32697000,Real Estate
2002-03-31,104889,GHC,1727765,1048805000,Consumer Defensive
2002-03-31,105598,WFC,53265080,2631295000,Financial Services
2002-03-31,105729,WSC1,5703087,1782785000,Unknown
2002-03-31,1059556,DNB1,1820400,72835000,Unknown
2002-03-31,1059556,DUT,24000000,986400000,Unknown
2002-03-31,109261,ZNT,816655,23846000,Unknown
2002-03-31,12659,HRB,15999200,711164000,Consumer Cyclical
2002-03-31,1393231,COST,5606409,223247000,Consumer Defensive
2002-03-31,21344,KO,200000000,10452001000,Consumer Defensive
2002-03-31,29905,DOV,2165100,88769000,Industrials
2002-03-31,320187,NKE,4930700,296416000,Consumer Cyclical
2002-03-31,320335,GL,2073462,83541000,Financial Services
2002-03-31,352363,KATE,334200,9478000,Unknown
2002-03-31,36270,MTB,6708760,539183000,Financial Services
2002-03-31,39899,TGNA,3636800,276760000,Communication Services
2002-03-31,39911,GAP,15000000,225600000,Consumer Cyclical
2002-03-31,40211,GATX,7340700,233434000,Industrials
2002-03-31,41499,G1,96000000,3264960000,Unknown
2002-03-31,43362,GLK1,6948700,195745000,Unknown
2002-03-31,4962,AXP,4812100,419855000,Financial Services
2002-03-31,750556,STI1,5806300,387455000,Unknown
2002-03-31,757011,USG1,6500000,45500000,Unknown
2002-03-31,836102,TT2,3232000,228664000,Unknown
2002-03-31,874016,JNY,7850100,274361000,Unknown
2002-03-31,874691,OSI2,1867500,66800000,Unknown
2002-03-31,88204,SEE,2787900,131254000,Consumer Cyclical
2002-03-31,89439,MLI,3046900,106611000,Industrials
2002-03-31,922812,AXP,151610700,6209973000,Financial Services
2002-03-31,932872,SJR/BEUR,22000000,395560000,Unknown
2002-06-30,1012100,SEE 2 04/01/18 A,679500,27758000,Unknown
2002-06-30,1020882,IRM,2143200,66118000,Real Estate
2002-06-30,104889,GHC,1727765,941632000,Consumer Defensive
2002-06-30,105598,WFC,53265080,2666450000,Financial Services
2002-06-30,105729,WSC1,5703087,1720051000,Unknown
2002-06-30,1059556,DNB1,1723500,56961000,Unknown
2002-06-30,1059556,DUT,24000000,1194000000,Unknown
2002-06-30,109261,ZNT,451355,14376000,Unknown
2002-06-30,12659,HRB,15999200,738363000,Consumer Cyclical
2002-06-30,1393231,COST,5606409,216250000,Consumer Defensive
2002-06-30,21344,KO,200000000,11200001000,Consumer Defensive
2002-06-30,29905,DOV,2165100,75778000,Industrials
2002-06-30,320187,NKE,4405700,236366000,Consumer Cyclical
2002-06-30,320335,GL,2073462,79207000,Financial Services
2002-06-30,36270,MTB,6708760,575343000,Financial Services
2002-06-30,39899,TGNA,3636800,276033000,Communication Services
2002-06-30,39911,GAP,20000000,284000000,Consumer Cyclical
2002-06-30,40211,GATX,7340700,220955000,Industrials
2002-06-30,41499,G1,96000000,3251520000,Unknown
2002-06-30,43362,GLK1,6948700,184071000,Unknown
2002-06-30,4962,AXP,7924200,294780000,Financial Services
2002-06-30,750556,STI1,5806300,393202000,Unknown
2002-06-30,757011,USG1,6500000,46475000,Unknown
2002-06-30,836102,TT2,3232000,242723000,Unknown
2002-06-30,874016,JNY,3740600,140272000,Unknown
2002-06-30,874691,OSI2,1867500,65549000,Unknown
2002-06-30,88204,SEE,2492800,100385000,Consumer Cyclical
2002-06-30,89439,MLI,2480900,78769000,Industrials
2002-06-30,922812,AXP,151610700,5506501000,Financial Services
2002-06-30,932872,SJR/BEUR,22000000,246400000,Unknown
2002-09-30,1012100,SEE 2 04/01/18 A,679500,15499000,Unknown
2002-09-30,1020882,IRM,6671200,166723000,Real Estate
2002-09-30,104889,GHC,1727765,1121319000,Consumer Defensive
2002-09-30,105598,WFC,53265080,2565246000,Financial Services
2002-09-30,105729,WSC1,5703087,1753699000,Unknown
2002-09-30,1059556,DNB1,1289100,43327000,Unknown
2002-09-30,1059556,DUT,24000000,1164000000,Unknown
2002-09-30,109261,ZNT,451355,11925000,Unknown
2002-09-30,1108329,PC6A,95900,1927000,Unknown
2002-09-30,12659,HRB,15999200,672126000,Consumer Cyclical
2002-09-30,1393231,COST,5606409,181479000,Consumer Defensive
2002-09-30,21344,KO,200000000,9592000000,Consumer Defensive
2002-09-30,29905,DOV,2479200,62922000,Industrials
2002-09-30,29989,OMC,500000,27840000,Communication Services
2002-09-30,320187,NKE,6000000,259080000,Consumer Cyclical
2002-09-30,320335,GL,2073462,71037000,Financial Services
2002-09-30,36270,MTB,6708760,528717000,Financial Services
