filedFor,nameOfIssuer,ticker,no_shares,value,industry
2013-06-30,AMERICAN EXPRESS CO,AXP,151610700,11334417000,Financial Services
2013-06-30,BANK OF NEW YORK MELLON CORP,BK,24644029,691264000,Financial Services
2013-06-30,CHICAGO BRIDGE & IRON CO N V,CBI,9550755,569798000,Industrials
2013-06-30,COCA COLA CO,KO,400000000,16044001000,Consumer Defensive
2013-06-30,CONOCOPHILLIPS,COP,24123911,1459497000,Energy
2013-06-30,COSTCO WHSL CORP NEW,COST,4333363,479140000,Consumer Defensive
2013-06-30,DAVITA HEALTHCARE PARTNERS I,DVA,14973906,1808848000,Healthcare
2013-06-30,DEERE & CO,DE,3978767,323275000,Industrials
2013-06-30,DIRECTV,DTV1,37275400,2297655000,Communication Services
2013-06-30,DISH NETWORK CORP,DISH,547312,23272000,Communication Services
2013-06-30,EXXON MOBIL CORP,XOM,31244110,2822906,Energy
2013-06-30,GENERAL ELECTRIC CO,GE,588900,13657000,Industrials
2013-06-30,GENERAL MTRS CO,GM,40000000,1332400000,Consumer Cyclical
2013-06-30,INTERNATIONAL BUSINESS MACHS,IBM,68121984,13018792000,Technology
2013-06-30,JOHNSON & JOHNSON,JNJ,327100,28085000,Healthcare
2013-06-30,KRAFT FOODS GROUP INC,KRFT,192666,10764000,Consumer Defensive
2013-06-30,LEE ENTERPRISES INC,LEE,88863,181000,Communication Services
2013-06-30,LIBERTY MEDIA CORP DELAWARE,FWONA,5622340,712688000,Communication Services
2013-06-30,M & T BK CORP,MTB,5382040,601444000,Financial Services
2013-06-30,MASTERCARD INC,MA,405000,232673000,Financial Services
2013-06-30,MEDIA GEN INC,MEG1,4646220,51248000,Communication Services
2013-06-30,MONDELEZ INTL INC,MDLZ,578000,16490000,Consumer Defensive
2013-06-30,MOODYS CORP,MCO,24922178,1518508000,Financial Services
2013-06-30,NATIONAL OILWELL VARCO INC,NOV,8880000,611832000,Energy
2013-06-30,PHILLIPS 66,PSX,27163918,1600226000,Energy
2013-06-30,PRECISION CASTPARTS CORP,PCP,1977336,446898000,Industrials
2013-06-30,PROCTER & GAMBLE CO,PG,52793078,4064539000,Consumer Defensive
2013-06-30,STARZ,STRZA,5622340,124254000,Communication Services
2013-06-30,TORCHMARK CORP,GL,4235818,275921000,Financial Services
2013-06-30,U S G CORP,USG,17072192,393514000,Basic Materials
2013-06-30,UNITED PARCEL SERVICE INC,UPS,59400,5137000,Industrials
2013-06-30,US BANCORP DEL,USB,78277301,2829725000,Financial Services
2013-06-30,VERISIGN INC,VRSN,10897420,486679000,Technology
2013-06-30,VERISK ANALYTICS INC,VRSK,1563434,93337000,Industrials
2013-06-30,VIACOM INC NEW,VIAB,7607200,517518000,Communication Services
2013-06-30,VISA INC,V,1555459,284260000,Financial Services
2013-06-30,WABCO HLDGS INC,WBC,4076325,304461000,Industrials
2013-06-30,WAL MART STORES INC,WMT,49247235,3668426000,Consumer Defensive
2013-06-30,WASHINGTON POST CO,GHC,1727765,835840000,Consumer Defensive
2013-06-30,WELLS FARGO & CO NEW,WFC,463131623,19113442000,Financial Services
2013-09-30,AMERICAN EXPRESS CO,AXP,151610700,11449640000,Financial Services
2013-09-30,BANK OF NEW YORK MELLON CORP,BK,24652836,744269000,Financial Services
2013-09-30,CHICAGO BRIDGE & IRON CO N V,CBI,9550755,647254000,Industrials
2013-09-30,COCA COLA CO,KO,400000000,15152001000,Consumer Defensive
2013-09-30,CONOCOPHILLIPS,COP,13529270,940419000,Energy
2013-09-30,COSTCO WHSL CORP NEW,COST,4333363,499073000,Consumer Defensive
2013-09-30,DAVITA HEALTHCARE PARTNERS I,DVA,31446830,1789325000,Healthcare
2013-09-30,DEERE & CO,DE,3978767,323832000,Industrials
2013-09-30,DIRECTV,DTV1,36514700,2182848000,Communication Services
2013-09-30,DISH NETWORK CORP,DISH,547312,24635000,Communication Services
2013-09-30,EXXON MOBIL CORP,XOM,40089371,3449290000,Energy
2013-09-30,GENERAL ELECTRIC CO,GE,588900,14069000,Industrials
2013-09-30,GENERAL MTRS CO,GM,40000000,1438800000,Consumer Cyclical
2013-09-30,INTERNATIONAL BUSINESS MACHS,IBM,68121984,12614828000,Technology
2013-09-30,JOHNSON & JOHNSON,JNJ,327100,28356000,Healthcare
2013-09-30,KRAFT FOODS GROUP INC,KRFT,192666,10111000,Consumer Defensive
2013-09-30,LEE ENTERPRISES INC,LEE,88863,235000,Communication Services
2013-09-30,LIBERTY MEDIA CORP DELAWARE,FWONA,5622340,827327000,Communication Services
2013-09-30,M & T BK CORP,MTB,5382040,602358000,Financial Services
2013-09-30,MASTERCARD INC,MA,405000,272476000,Financial Services
2013-09-30,MEDIA GEN INC,MEG1,4646220,66255000,Communication Services
2013-09-30,MONDELEZ INTL INC,MDLZ,578000,18161000,Consumer Defensive
2013-09-30,MOODYS CORP,MCO,24922178,1752777000,Financial Services
2013-09-30,NATIONAL OILWELL VARCO INC,NOV,8880000,693617000,Energy
2013-09-30,PHILLIPS 66,PSX,27163918,1570618000,Energy
2013-09-30,PRECISION CASTPARTS CORP,PCP,1977336,449330000,Industrials
2013-09-30,PROCTER & GAMBLE CO,PG,52793078,3990629000,Consumer Defensive
2013-09-30,STARZ,STRZA,5622340,158156000,Communication Services
2013-09-30,TORCHMARK CORP,GL,4235818,306461000,Financial Services
2013-09-30,U S G CORP,USG,17072192,487923000,Basic Materials
2013-09-30,UNITED PARCEL SERVICE INC,UPS,59400,5427000,Industrials
2013-09-30,US BANCORP DEL,USB,79117501,2894119000,Financial Services
2013-09-30,VERISIGN INC,VRSN,10961520,557832000,Technology
2013-09-30,VERISK ANALYTICS INC,VRSK,1563434,101561000,Industrials
2013-09-30,VIACOM INC NEW,VIAB,7607200,635809000,Communication Services
2013-09-30,VISA INC,V,1555459,297248000,Financial Services
2013-09-30,WABCO HLDGS INC,WBC,4076325,343471000,Industrials
2013-09-30,WAL MART STORES INC,WMT,49247235,3642325000,Consumer Defensive
2013-09-30,WASHINGTON POST CO,GHC,1727765,1056270000,Consumer Defensive
2013-09-30,WELLS FARGO & CO NEW,WFC,463131623,19136598000,Financial Services
2013-12-31,AMERICAN EXPRESS CO,AXP,151610700,13755639000,Financial Services
2013-12-31,BANK OF NEW YORK MELLON CORP,BK,24652836,861370000,Financial Services
2013-12-31,CHICAGO BRIDGE & IRON CO N V,CBI,9550755,794050000,Industrials
2013-12-31,COCA COLA CO,KO,400000000,16524000000,Consumer Defensive
2013-12-31,CONOCOPHILLIPS,COP,11079958,782799000,Energy
